id,knowledge_version,status,category,title,default_severity,priority,problem,check_method,solution,owner,applicability,applicability_profile,mappings,pass_condition,fail_condition,retest_acceptance,test_mode,test_families,automation_status,remediation_effort,evidence_types,review_interval_days,machine_rule_status,control_dependencies,validation_status,next_review_due,content_digest
ARL-KB-001,ARL-RKA-1.2.0,active,Governance and scope,Agent purpose is undefined or expands without approval,high,P1,"The agent has no bounded business purpose, so new prompts, tools or integrations silently broaden what it may do.","Compare the declared purpose, production prompts, tool catalogue and recent change history; flag capabilities that are not necessary for an approved use case. Bind approval to the exact action, canonical parameters, target, value, actor, environment, expiry and nonce. Mutate each field and replay the token; every variant must be denied.","Record a versioned purpose, permitted outcomes, prohibited outcomes and accountable owner; require change approval before adding authority or data access.",Product owner,all agents,"{""clause_match"":""any"",""clauses"":[{""source_label"":""all agents"",""match"":""all"",""predicates"":[{""fact"":""always"",""operator"":""eq"",""value"":true}],""derivation_status"":""derived_from_existing_label""}],""unknown_fact_behavior"":""include_for_review"",""unresolved_labels"":[]}",NIST AI RMF 1.0 GOVERN/MAP|ISO/IEC 42001:2023 management system|OWASP Agentic Top 10 2026 ASI10,"ARL-KB-001 passes only when “Agent purpose is undefined or expands without approval” is not reproducible through the documented abuse cases, the valid workflow remains bounded to system prompt, retrieved context and persistent memory and source documents, messages and generated outputs, denial occurs before side effects, and version-bound observed evidence matches the expected decision.","ARL-KB-001 fails when the agent has no bounded business purpose, so new prompts, tools or integrations silently broaden what it may do, or when the relevant control is declaration-only, bypassable, fail-open, applied after a side effect, evaluated under the wrong identity or tenant, or unsupported by reproducible evidence.","ARL-KB-001: “Agent purpose is undefined or expands without approval” is no longer reproducible against the exact remediated version.|ARL-KB-001: Authorised in-scope use completes successfully, remains within the documented asset scope for agent purpose is undefined or expands without approval, and produces no unintended side effect.|ARL-KB-001: Unauthorised identity, boundary-crossing, malformed-input, replay and relevant bypass variants are denied before execution, with the expected policy and downstream events recorded.|ARL-KB-001: Reviewer identity, timestamp, deployed version, evidence digest, known limitations and rollback decision are recorded.",manual,governance-review|approval-integrity,unsupported,unestimated,system-scope|source-or-configuration|test-execution|runtime-or-audit-record|identity-and-time|digest-or-signature,90,not_defined,,candidate,2026-11-03,8617a066d49958e3c8dde9e5fcfe215e77d7cf5a7b417423048fe31f305c2db8
ARL-KB-002,ARL-RKA-1.2.0,active,Governance and scope,No accountable risk owner,high,P1,"No named person is responsible for accepting residual risk, funding remediation or stopping deployment.","Inspect project records and deployment approvals for a named owner with authority, contact details, decision date and expiry. Execute the documented check for “No accountable risk owner” against the exact assessed version, then vary identity, scope, malformed input, replay and a bypass path relevant to the control.",Assign an accountable risk owner and deputies; require their signed decision for material residual risk and deployment exceptions.,Executive risk owner,all agents,"{""clause_match"":""any"",""clauses"":[{""source_label"":""all agents"",""match"":""all"",""predicates"":[{""fact"":""always"",""operator"":""eq"",""value"":true}],""derivation_status"":""derived_from_existing_label""}],""unknown_fact_behavior"":""include_for_review"",""unresolved_labels"":[]}",NIST AI RMF 1.0 GOVERN|ISO/IEC 42001:2023 leadership,"ARL-KB-002 passes only when “No accountable risk owner” is not reproducible through the documented abuse cases, the valid workflow remains bounded to tool endpoints and downstream systems and financial, administrative or state-changing actions, denial occurs before side effects, and version-bound observed evidence matches the expected decision.","ARL-KB-002 fails when no named person is responsible for accepting residual risk, funding remediation or stopping deployment, or when the relevant control is declaration-only, bypassable, fail-open, applied after a side effect, evaluated under the wrong identity or tenant, or unsupported by reproducible evidence.","ARL-KB-002: “No accountable risk owner” is no longer reproducible against the exact remediated version.|ARL-KB-002: Authorised in-scope use completes successfully, remains within the documented asset scope for no accountable risk owner, and produces no unintended side effect.|ARL-KB-002: Unauthorised identity, boundary-crossing, malformed-input, replay and relevant bypass variants are denied before execution, with the expected policy and downstream events recorded.|ARL-KB-002: Reviewer identity, timestamp, deployed version, evidence digest, known limitations and rollback decision are recorded.",manual,governance-review,unsupported,unestimated,system-scope|source-or-configuration|test-execution|runtime-or-audit-record|identity-and-time|digest-or-signature,90,not_defined,,candidate,2026-11-03,2d5fe33234c247ee7bc3e7bfa7cba09243cc357a034d8d4f7487a79413e7489b
ARL-KB-003,ARL-RKA-1.2.0,active,Governance and scope,Prohibited uses and harm boundaries are missing,critical,P0,"The organisation has not stated which users, decisions, sectors or actions the agent must never support.","Review policy, prompts and tool rules for explicit prohibited uses and test representative forbidden requests. Execute the documented check for “Prohibited uses and harm boundaries are missing” against the exact assessed version, then vary identity, scope, malformed input, replay and a bypass path relevant to the control.","Define prohibited-use rules, refusal behaviour, escalation routes and enforcement tests; block prohibited actions at the policy and tool layers.",Risk and compliance owner,"agents affecting people, rights, safety or regulated activity","{""clause_match"":""any"",""clauses"":[{""source_label"":""agents affecting people, rights, safety or regulated activity"",""match"":""all"",""predicates"":[{""fact"":""affects_people_rights_safety_or_regulated_activity"",""operator"":""eq"",""value"":true}],""derivation_status"":""derived_from_existing_label""}],""unknown_fact_behavior"":""include_for_review"",""unresolved_labels"":[]}",EU AI Act 2024/1689 applicability and prohibited practices|NIST AI RMF 1.0 GOVERN/MAP,"ARL-KB-003 passes only when “Prohibited uses and harm boundaries are missing” is not reproducible through the documented abuse cases, the valid workflow remains bounded to tool endpoints and downstream systems and financial, administrative or state-changing actions, denial occurs before side effects, and version-bound observed evidence matches the expected decision.","ARL-KB-003 fails when the organisation has not stated which users, decisions, sectors or actions the agent must never support, or when the relevant control is declaration-only, bypassable, fail-open, applied after a side effect, evaluated under the wrong identity or tenant, or unsupported by reproducible evidence.","ARL-KB-003: “Prohibited uses and harm boundaries are missing” is no longer reproducible against the exact remediated version.|ARL-KB-003: Authorised in-scope use completes successfully, remains within the documented asset scope for prohibited uses and harm boundaries are missing, and produces no unintended side effect.|ARL-KB-003: Unauthorised identity, boundary-crossing, malformed-input, replay and relevant bypass variants are denied before execution, with the expected policy and downstream events recorded.|ARL-KB-003: Reviewer identity, timestamp, deployed version, evidence digest, known limitations and rollback decision are recorded.",manual,governance-review,unsupported,unestimated,system-scope|source-or-configuration|test-execution|runtime-or-audit-record|identity-and-time|digest-or-signature,60,not_defined,,candidate,2026-10-04,729d133ad9e8600eb00196100ef76b834cd9331bc7b7dfa96de6f53892fdba64
ARL-KB-004,ARL-RKA-1.2.0,active,Governance and scope,Risk classification does not match real impact,critical,P0,"The agent is treated as low risk even though it can move money, alter records, affect rights, disclose sensitive data or control infrastructure.","Inventory reachable assets and maximum action values, then compare the observed blast radius with the declared risk tier. Execute the documented check for “Risk classification does not match real impact” against the exact assessed version, then vary identity, scope, malformed input, replay and a bypass path relevant to the control.","Use impact-based classification that considers authority, data, reversibility, scale, affected people and dependency chains; raise controls when capability changes.",Security and risk owner,agents with tools or consequential outputs,"{""clause_match"":""any"",""clauses"":[{""source_label"":""agents with tools or consequential outputs"",""match"":""any"",""predicates"":[{""fact"":""uses_tools"",""operator"":""eq"",""value"":true},{""fact"":""is_consequential"",""operator"":""eq"",""value"":true}],""derivation_status"":""derived_from_existing_label""}],""unknown_fact_behavior"":""include_for_review"",""unresolved_labels"":[]}",NIST AI RMF 1.0 MAP|ISO/IEC 23894:2023 risk context|OWASP Agentic Top 10 2026 ASI08,"ARL-KB-004 passes only when “Risk classification does not match real impact” is not reproducible through the documented abuse cases, the valid workflow remains bounded to tool endpoints and downstream systems and financial, administrative or state-changing actions, denial occurs before side effects, and version-bound observed evidence matches the expected decision.","ARL-KB-004 fails when the agent is treated as low risk even though it can move money, alter records, affect rights, disclose sensitive data or control infrastructure, or when the relevant control is declaration-only, bypassable, fail-open, applied after a side effect, evaluated under the wrong identity or tenant, or unsupported by reproducible evidence.","ARL-KB-004: “Risk classification does not match real impact” is no longer reproducible against the exact remediated version.|ARL-KB-004: Authorised in-scope use completes successfully, remains within the documented asset scope for risk classification does not match real impact, and produces no unintended side effect.|ARL-KB-004: Unauthorised identity, boundary-crossing, malformed-input, replay and relevant bypass variants are denied before execution, with the expected policy and downstream events recorded.|ARL-KB-004: Reviewer identity, timestamp, deployed version, evidence digest, known limitations and rollback decision are recorded.",manual,governance-review,unsupported,unestimated,system-scope|source-or-configuration|test-execution|runtime-or-audit-record|identity-and-time|digest-or-signature,60,not_defined,,candidate,2026-10-04,dda59ab8d2e372ed6e151993b2c2fda6e8ba3d9e537af4be09ab5caac29e53c5
ARL-KB-005,ARL-RKA-1.2.0,active,Governance and scope,Trust boundaries and data flows are undocumented,high,P1,"Reviewers cannot see where untrusted input becomes model context, where identities change, or where outputs reach tools and external systems.","Build and verify a data-flow and trust-boundary model against code, configuration, network calls, tools, stores and human approval points. Use least-privileged test identities; mutate tool names, arguments, object IDs and response fields. Recheck authorization at execution time and verify restricted response data is removed.","Maintain a versioned architecture model showing actors, inputs, stores, models, agents, tools, networks, approvals and evidence paths.",Security architect,all agents,"{""clause_match"":""any"",""clauses"":[{""source_label"":""all agents"",""match"":""all"",""predicates"":[{""fact"":""always"",""operator"":""eq"",""value"":true}],""derivation_status"":""derived_from_existing_label""}],""unknown_fact_behavior"":""include_for_review"",""unresolved_labels"":[]}",NCSC Secure AI Development 1.0 secure design|NIST AI RMF 1.0 MAP,"ARL-KB-005 passes only when “Trust boundaries and data flows are undocumented” is not reproducible through the documented abuse cases, the valid workflow remains bounded to system prompt, retrieved context and persistent memory and source documents, messages and generated outputs, denial occurs before side effects, and version-bound observed evidence matches the expected decision.","ARL-KB-005 fails when reviewers cannot see where untrusted input becomes model context, where identities change, or where outputs reach tools and external systems, or when the relevant control is declaration-only, bypassable, fail-open, applied after a side effect, evaluated under the wrong identity or tenant, or unsupported by reproducible evidence.","ARL-KB-005: “Trust boundaries and data flows are undocumented” is no longer reproducible against the exact remediated version.|ARL-KB-005: Authorised in-scope use completes successfully, remains within the documented asset scope for trust boundaries and data flows are undocumented, and produces no unintended side effect.|ARL-KB-005: Unauthorised identity, boundary-crossing, malformed-input, replay and relevant bypass variants are denied before execution, with the expected policy and downstream events recorded.|ARL-KB-005: Reviewer identity, timestamp, deployed version, evidence digest, known limitations and rollback decision are recorded.",manual,governance-review,unsupported,unestimated,system-scope|source-or-configuration|test-execution|runtime-or-audit-record|identity-and-time|digest-or-signature,90,not_defined,,candidate,2026-11-03,9466b8639b097068a5a546d0f1bc59a8ecda6e80ecf09715325c8300428ff779
ARL-KB-006,ARL-RKA-1.2.0,active,Governance and scope,Data classification is absent or inconsistent,high,P1,"Prompts, memories, logs and tool arguments may contain personal, confidential, regulated or secret data without suitable handling rules.","Sample schemas and redacted evidence from each data path; verify classification, purpose, retention, access and export restrictions. Use least-privileged test identities; mutate tool names, arguments, object IDs and response fields. Recheck authorization at execution time and verify restricted response data is removed.","Classify data at ingestion and propagate labels through retrieval, model calls, tools, memory, logs and exports; deny incompatible destinations.",Data protection and security owner,agents processing non-public data,"{""clause_match"":""any"",""clauses"":[{""source_label"":""agents processing non-public data"",""match"":""all"",""predicates"":[{""fact"":""processes_non_public_data"",""operator"":""eq"",""value"":true}],""derivation_status"":""derived_from_existing_label""}],""unknown_fact_behavior"":""include_for_review"",""unresolved_labels"":[]}",ICO AI and Data Protection security and minimisation|NIST AI 600-1 data privacy,"ARL-KB-006 passes only when “Data classification is absent or inconsistent” is not reproducible through the documented abuse cases, the valid workflow remains bounded to system prompt, retrieved context and persistent memory and source documents, messages and generated outputs, denial occurs before side effects, and version-bound observed evidence matches the expected decision.","ARL-KB-006 fails when prompts, memories, logs and tool arguments may contain personal, confidential, regulated or secret data without suitable handling rules, or when the relevant control is declaration-only, bypassable, fail-open, applied after a side effect, evaluated under the wrong identity or tenant, or unsupported by reproducible evidence.","ARL-KB-006: “Data classification is absent or inconsistent” is no longer reproducible against the exact remediated version.|ARL-KB-006: Authorised in-scope use completes successfully, remains within the documented asset scope for data classification is absent or inconsistent, and produces no unintended side effect.|ARL-KB-006: Unauthorised identity, boundary-crossing, malformed-input, replay and relevant bypass variants are denied before execution, with the expected policy and downstream events recorded.|ARL-KB-006: Reviewer identity, timestamp, deployed version, evidence digest, known limitations and rollback decision are recorded.",manual,governance-review,unsupported,unestimated,system-scope|source-or-configuration|test-execution|runtime-or-audit-record|identity-and-time|digest-or-signature,90,not_defined,,candidate,2026-11-03,c446f390316609e3353c47ac1e0fe61e997692c7af068e5e71524ab6391ef6c0
ARL-KB-007,ARL-RKA-1.2.0,active,Governance and scope,Third-party AI and tool providers are not assessed,high,P1,"A model, MCP server, plugin, vector service or observability vendor can change behaviour, process data elsewhere or become compromised.","Review contracts, subprocessors, data locations, security evidence, model-change terms, incident notification and exit controls for every external dependency. Use least-privileged test identities; mutate tool names, arguments, object IDs and response fields. Recheck authorization at execution time and verify restricted response data is removed.","Maintain a vendor register, approved configurations, data-processing constraints, change alerts, fallback plans and periodic reassessment.",Vendor risk owner,agents using external services,"{""clause_match"":""any"",""clauses"":[{""source_label"":""agents using external services"",""match"":""all"",""predicates"":[{""fact"":""uses_external_services"",""operator"":""eq"",""value"":true}],""derivation_status"":""derived_from_existing_label""}],""unknown_fact_behavior"":""include_for_review"",""unresolved_labels"":[]}",NCSC Secure AI Development 1.0 supply-chain security|OWASP Agentic Top 10 2026 ASI04,"ARL-KB-007 passes only when “Third-party AI and tool providers are not assessed” is not reproducible through the documented abuse cases, the valid workflow remains bounded to tool endpoints and downstream systems and financial, administrative or state-changing actions, denial occurs before side effects, and version-bound observed evidence matches the expected decision.","ARL-KB-007 fails when a model, mcp server, plugin, vector service or observability vendor can change behaviour, process data elsewhere or become compromised, or when the relevant control is declaration-only, bypassable, fail-open, applied after a side effect, evaluated under the wrong identity or tenant, or unsupported by reproducible evidence.","ARL-KB-007: “Third-party AI and tool providers are not assessed” is no longer reproducible against the exact remediated version.|ARL-KB-007: Authorised in-scope use completes successfully, remains within the documented asset scope for third-party ai and tool providers are not assessed, and produces no unintended side effect.|ARL-KB-007: Unauthorised identity, boundary-crossing, malformed-input, replay and relevant bypass variants are denied before execution, with the expected policy and downstream events recorded.|ARL-KB-007: Reviewer identity, timestamp, deployed version, evidence digest, known limitations and rollback decision are recorded.",manual,governance-review,unsupported,unestimated,system-scope|source-or-configuration|test-execution|runtime-or-audit-record|identity-and-time|digest-or-signature,90,not_defined,,candidate,2026-11-03,8cc59c3402dee3666a26f5871e0dba2e0fcf316377e428dce347e4ab07b78849
ARL-KB-008,ARL-RKA-1.2.0,active,Governance and scope,"Legal basis, transparency or user notice is unsupported",high,P1,"The organisation cannot show why personal data is processed, what the agent does, or how affected people can exercise rights.","Review the actual data, purposes, notices, user journeys, decisions and retention against the organisation's documented legal analysis. Execute the documented check for “Legal basis, transparency or user notice is unsupported” against the exact assessed version, then vary identity, scope, malformed input, replay and a bypass path relevant to the control.","Record role-specific legal analysis, transparent notices, rights handling, human review and data-protection impact assessment where required.",Privacy counsel and DPO,agents processing personal data or interacting with people,"{""clause_match"":""any"",""clauses"":[{""source_label"":""agents processing personal data or interacting with people"",""match"":""any"",""predicates"":[{""fact"":""processes_personal_data"",""operator"":""eq"",""value"":true},{""fact"":""interacts_with_people"",""operator"":""eq"",""value"":true}],""derivation_status"":""derived_from_existing_label""}],""unknown_fact_behavior"":""include_for_review"",""unresolved_labels"":[]}",ICO AI and Data Protection lawfulness/transparency/rights|EU AI Act 2024/1689 transparency and role duties,"ARL-KB-008 passes only when “Legal basis, transparency or user notice is unsupported” is not reproducible through the documented abuse cases, the valid workflow remains bounded to agent and model context, denial occurs before side effects, and version-bound observed evidence matches the expected decision.","ARL-KB-008 fails when the organisation cannot show why personal data is processed, what the agent does, or how affected people can exercise rights, or when the relevant control is declaration-only, bypassable, fail-open, applied after a side effect, evaluated under the wrong identity or tenant, or unsupported by reproducible evidence.","ARL-KB-008: “Legal basis, transparency or user notice is unsupported” is no longer reproducible against the exact remediated version.|ARL-KB-008: Authorised in-scope use completes successfully, remains within the documented asset scope for legal basis, transparency or user notice is unsupported, and produces no unintended side effect.|ARL-KB-008: Unauthorised identity, boundary-crossing, malformed-input, replay and relevant bypass variants are denied before execution, with the expected policy and downstream events recorded.|ARL-KB-008: Reviewer identity, timestamp, deployed version, evidence digest, known limitations and rollback decision are recorded.",manual,governance-review,unsupported,unestimated,system-scope|source-or-configuration|test-execution|runtime-or-audit-record|identity-and-time|digest-or-signature,90,not_defined,,candidate,2026-11-03,d186036b4cafff8d46035851608d0b4eb22604cd14cb48d4403d3180972869e5
ARL-KB-009,ARL-RKA-1.2.0,active,Governance and scope,Security-relevant changes bypass review,high,P1,"Prompt, model, tool, policy or data-source changes can reach production without threat modelling, tests or approval.","Inspect version history and deployment records for review gates covering prompts, models, tools, permissions, policies, schemas and providers. Bind approval to the exact action, canonical parameters, target, value, actor, environment, expiry and nonce. Mutate each field and replay the token; every variant must be denied.","Use change classification, code review, signed artefacts, automated negative tests, staged rollout and rollback for all security-relevant changes.",Engineering owner,all production agents,"{""clause_match"":""any"",""clauses"":[{""source_label"":""all production agents"",""match"":""all"",""predicates"":[{""fact"":""is_production"",""operator"":""eq"",""value"":true}],""derivation_status"":""derived_from_existing_label""}],""unknown_fact_behavior"":""include_for_review"",""unresolved_labels"":[]}",NCSC Secure AI Development 1.0 secure development/deployment|NIST AI RMF 1.0 MANAGE,"ARL-KB-009 passes only when “Security-relevant changes bypass review” is not reproducible through the documented abuse cases, the valid workflow remains bounded to system prompt, retrieved context and persistent memory and source documents, messages and generated outputs, denial occurs before side effects, and version-bound observed evidence matches the expected decision.","ARL-KB-009 fails when prompt, model, tool, policy or data-source changes can reach production without threat modelling, tests or approval, or when the relevant control is declaration-only, bypassable, fail-open, applied after a side effect, evaluated under the wrong identity or tenant, or unsupported by reproducible evidence.","ARL-KB-009: “Security-relevant changes bypass review” is no longer reproducible against the exact remediated version.|ARL-KB-009: Authorised in-scope use completes successfully, remains within the documented asset scope for security-relevant changes bypass review, and produces no unintended side effect.|ARL-KB-009: Unauthorised identity, boundary-crossing, malformed-input, replay and relevant bypass variants are denied before execution, with the expected policy and downstream events recorded.|ARL-KB-009: Reviewer identity, timestamp, deployed version, evidence digest, known limitations and rollback decision are recorded.",manual,governance-review,unsupported,unestimated,system-scope|source-or-configuration|test-execution|runtime-or-audit-record|identity-and-time|digest-or-signature,90,not_defined,,candidate,2026-11-03,5b45cb26e3106e8722b6e0c6373f6f71e0f27dcac4e0a0ca08d243fbf41768a5
ARL-KB-010,ARL-RKA-1.2.0,active,Governance and scope,Acceptance criteria are vague or based on a score alone,high,P1,"A high aggregate score can hide a critical unresolved action, missing approval, tenant breach or untested recovery path.","Check whether deployment criteria enumerate non-negotiable gates, evidence types, residual risks, limitations and decision authority. Create Tenant A and Tenant B users, roles and object IDs. Attempt direct-ID, list, search, export and tool access across tenants; expect indistinguishable authorization failures and no foreign metadata.","Define explicit pass/fail gates for critical risks, tenant isolation, exact approvals, recovery, monitoring and evidence; prohibit score-only approval.",Deployment authority,all agents,"{""clause_match"":""any"",""clauses"":[{""source_label"":""all agents"",""match"":""all"",""predicates"":[{""fact"":""always"",""operator"":""eq"",""value"":true}],""derivation_status"":""derived_from_existing_label""}],""unknown_fact_behavior"":""include_for_review"",""unresolved_labels"":[]}",NIST AI RMF 1.0 MEASURE/MANAGE|ISO/IEC 23894:2023 risk treatment,"ARL-KB-010 passes only when “Acceptance criteria are vague or based on a score alone” is not reproducible through the documented abuse cases, the valid workflow remains bounded to tenant-scoped records and object identifiers and service identities, roles and credentials, denial occurs before side effects, and version-bound observed evidence matches the expected decision.","ARL-KB-010 fails when a high aggregate score can hide a critical unresolved action, missing approval, tenant breach or untested recovery path, or when the relevant control is declaration-only, bypassable, fail-open, applied after a side effect, evaluated under the wrong identity or tenant, or unsupported by reproducible evidence.","ARL-KB-010: “Acceptance criteria are vague or based on a score alone” is no longer reproducible against the exact remediated version.|ARL-KB-010: Authorised in-scope use completes successfully, remains within the documented asset scope for acceptance criteria are vague or based on a score alone, and produces no unintended side effect.|ARL-KB-010: Unauthorised identity, boundary-crossing, malformed-input, replay and relevant bypass variants are denied before execution, with the expected policy and downstream events recorded.|ARL-KB-010: Reviewer identity, timestamp, deployed version, evidence digest, known limitations and rollback decision are recorded.",manual,governance-review,unsupported,unestimated,system-scope|source-or-configuration|test-execution|runtime-or-audit-record|identity-and-time|digest-or-signature,90,not_defined,,candidate,2026-11-03,fc6c7bb66f10c54ad4dfd0b355af8ad958f06bc6a512db72197df6352a64430f
